,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
0,The Rise and Fall of LuLaRoe,,0,Beatrice Loayza,‘The Rise and Fall of LuLaRoe’ Review: Success? That’s a Stretch.,"This formulaic documentary focuses on the individuals swindled by the multilevel marketing company known for leggings, LuLaRoe.",2021-12-13,2021-12-13,2021-12-13 14:31:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/13/movies/the-rise-and-fall-of-lularoe-review.html', 'suggested_link_text': 'Read the New York Times Review of The Rise and Fall of LuLaRoe'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/13/arts/13rise-and-fall-lularoe/13rise-and-fall-lularoe-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
1,A Son,,0,Manohla Dargis,‘A Son (Un Fils)’ Review: The Pain of Others,"In this Tunisian drama, a terrorist attack sends a husband and wife into a spiraling crisis, opening a world of hurt and understanding.",2021-12-09,2021-12-10,2021-12-09 19:33:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/a-son-un-fils-review.html', 'suggested_link_text': 'Read the New York Times Review of A Son'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09a-son-un-fils-review/09a-son-un-fils-review-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
2,France,,0,A.O. Scott,‘France’ Review: When the Journalist Becomes the Story,Léa Seydoux plays a star television anchor whose life comes unraveled in Bruno Dumont’s new film.,2021-12-09,2021-12-10,2021-12-09 19:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/france-review-lea-seydoux.html', 'suggested_link_text': 'Read the New York Times Review of France'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09france-dumont-review/merlin_198626436_f3215b33-8197-4ee8-b031-394d02bdc9f8-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
3,Red Rocket,R,0,A.O. Scott,‘Red Rocket’ Review: All My XXX’s Live in Texas,A porn star returns to his hometown in Sean Baker’s latest slice of hard-luck Americana.,2021-12-09,2021-12-10,2021-12-09 16:53:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/red-rocket-review.html', 'suggested_link_text': 'Read the New York Times Review of Red Rocket'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/multimedia/09redrocket1/09redrocket1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
4,The Lady of Heaven,R,0,Beatrice Loayza,‘The Lady of Heaven’ Review: A Tale of Two Eras,"This historical epic about the life of Fatima, the daughter of the Prophet Muhammad, is a mechanical history lesson riddled with clichés.",2021-12-09,2021-12-10,2021-12-09 15:44:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/the-lady-of-heaven-review.html', 'suggested_link_text': 'Read the New York Times Review of The Lady of Heaven'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/08/arts/lady1/lady1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
5,The Real Charlie Chaplin,,0,Nicolas Rapold,‘The Real Charlie Chaplin’ Review: Not Enough Funny Business,"The documentary attempts to restore a sense of mystery to Chaplin’s life and work, but the filmmakers mostly run through a well-trodden timeline.",2021-12-09,,2021-12-09 15:46:11,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/the-real-charlie-chaplin-review-not-enough-funny-business.html', 'suggested_link_text': 'Read the New York Times Review of The Real Charlie Chaplin'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09real-charlie-chaplin/09real-charlie-chaplin-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
6,Beijing Spring,,0,Devika Girish,‘Beijing Spring’ Review: The Politics of Aesthetics,This new documentary chronicles the movement for democratic artistic expression that exploded in the wake of the Cultural Revolution in China.,2021-12-09,2021-12-10,2021-12-09 12:06:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/beijing-spring-review.html', 'suggested_link_text': 'Read the New York Times Review of Beijing Spring'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09beijing-spring-art/merlin_198676335_164135be-809f-41ad-b28d-8014f0327b7f-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
7,National Champions,R,0,Glenn Kenny,‘National Champions’ Review: A College Football Revolution,Athletes go on strike seeking health insurance in this drama as a coach tries to forge his legacy.,2021-12-09,2021-12-10,2021-12-09 12:05:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/national-champions-review.html', 'suggested_link_text': 'Read the New York Times Review of National Champions'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09national-champions-review/merlin_198633474_77e31af2-100c-4f0d-811f-ecdafbbde6d9-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
8,Joy Womack: The White Swan,,0,Ben Kenigsberg,‘Joy Womack: The White Swan’ Review: When Success Is a Stretch,This documentary chronicles an American ballet dancer’s efforts to become a star in Russia.,2021-12-09,,2021-12-09 12:08:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/joy-womack-the-white-swan-review.html', 'suggested_link_text': 'Read the New York Times Review of Joy Womack: The White Swan'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/08/arts/joy1/joy1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
9,Agnes,,0,Lena Wilson,"‘Agnes’ Review: A Crisis of Faith, and Filmmaking","In this plodding horror-drama from Mickey Reece, a possessed nun drives one of her sisters to leave their convent.",2021-12-09,2021-12-10,2021-12-09 12:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/agnes-review.html', 'suggested_link_text': 'Read the New York Times Review of Agnes'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09agnes-art/merlin_198673755_ac51a3cb-13bf-44f2-8e14-a00503d8dec0-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
