,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,Happy Face,2020,N/A,31 Oct 2020,28 min,"Short, Horror",Devin K. Hansen,Devin K. Hansen,"Brittney Souther, Lenni Uitto, Jason K. Wixom, Alicia Oberle Farmer","When Heather's sister Hannah goes missing, her and a group of friends take a trip to the mountains to find her and foolishly deny an old story of a serial killer known as Happy Face.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTEyYmUwZjMtMTU3YS00M2U4LTg3YWEtZDUwNTZmMjk3YmZhXkEyXkFqcGdeQXVyOTA4NzM3NTc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13078952,movie,N/A,N/A,N/A,N/A,True,
1,Two Ways Home,2019,N/A,29 Dec 2020,92 min,Drama,Ron Vignone,Richard Schinnow,"Tanna Frederick, Tom Bower, Elizabeth Bauman",A young woman living with bipolar disorder struggles to honor her grandfather's last wish while attempting to reunite with her estranged 12-year-old daughter.,English,United States,11 wins,https://m.media-amazon.com/images/M/MV5BOGFkZTAwMDQtZWMzMS00NTI4LTlhYTEtNjY1OTM1ZGRmNWI3XkEyXkFqcGdeQXVyMzY5MzM4NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"3,639",tt2725076,movie,N/A,N/A,N/A,N/A,True,
2,Shadow in the Cloud,2020,R,01 Jan 2021,83 min,"Action, Horror, War",Roseanne Liang,"Max Landis, Roseanne Liang","Chloë Grace Moretz, Nick Robinson, Beulah Koale","On a stormy night during World War II, a female pilot with top secret cargo talks her way on board a bomber plane about to take-off. The crass all-male crew reluctantly agrees, but their suspicions about her identity and the mysterious cargo quickly grow. Just then a shadow appears in the clouds - was it the incoming Japanese fleet? Or caused by some other sinister stowaway?",English,"New Zealand, United States",2 wins,https://m.media-amazon.com/images/M/MV5BNWNiNGQyMzUtN2VmMi00NDI2LWI3NGUtMTEwZGQxYzFjZTNjXkEyXkFqcGdeQXVyMTEyNDk3MjY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,4.9,"22,359",tt9691136,movie,05 May 2021,"$156,932",N/A,N/A,True,
3,Pieces of a Woman,2020,R,07 Jan 2021,126 min,Drama,Kornél Mundruczó,Kata Wéber,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn","Martha and Sean are a Boston couple on the verge of parenthood whose lives change irrevocably when a home birth ends in unimaginable tragedy. Thus begins a yearlong odyssey for Martha, who must navigate her grief while working through fractious relationships with her husband and her domineering mother, along with the publicly vilified midwife, whom she must face in court. A deeply personal, searing, and ultimately transcendent story of a woman learning to live alongside her loss.",English,"Canada, Hungary, United States",Nominated for 1 Oscar. 6 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMGE3MzMzOTAtOTExMy00MzFiLWFjNDItN2ZiZmYyYjY2MWUwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"44,828",tt11161474,movie,07 Jan 2021,N/A,N/A,N/A,True,
4,Night of the Kings,2020,R,26 Feb 2021,93 min,"Drama, Fantasy",Philippe Lacôte,"Delphine Jaquet, Philippe Lacôte","Bakary Koné, Steve Tientcheu, Jean Cyrille Digbeu","The wild 'auto-gestioned- prison of Abidjan becomes the theater of a fight for power, as the old 'chief' of the prison must submit his power, due to illness. This last night of the blood full moon a newcomer assumes the role of the storyteller, not knowing that this will end to his own death. To stay alive, he begins to tell the story of a fellow criminal in the slum of Abidjan, and how he was driven to his death.","French, Dyula, Nushi","France, Côte d&#x27;Ivoire, Canada, Senegal",13 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMDY2MDdlNDEtZmViZC00MzE3LTk5ZjAtOTg2OWVjODUyNWVjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.6,"2,005",tt8132778,movie,05 Mar 2021,N/A,N/A,N/A,True,
5,Herself,2020,R,08 Jan 2021,97 min,Drama,Phyllida Lloyd,"Clare Dunne, Malcolm Campbell","Molly McCann, Clare Dunne, Ruby Rose O'Hara",A young mother escapes her abusive husband and fights back against a broken housing system. She sets out to build her own home and in the process rebuilds her life and re-discovers herself.,English,"Ireland, United Kingdom",4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZWJlODA3NzgtNDc5Zi00NzJlLTgyMjMtMDI3MDAxYTVmMjQ3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.0,"2,896",tt9902160,movie,08 Jan 2021,N/A,N/A,N/A,True,
6,Soul,2020,PG,25 Dec 2020,100 min,"Animation, Adventure, Comedy","Pete Docter, Kemp Powers","Pete Docter, Mike Jones, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton","Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz and he's good. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","English, Korean, Inuktitut",United States,Won 2 Oscars. 117 wins & 92 nominations total,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.1,"288,009",tt2948372,movie,25 Dec 2020,N/A,N/A,N/A,True,
7,Dear Comrades!,2020,N/A,12 Nov 2020,121 min,"Drama, History",Andrey Konchalovskiy,"Elena Kiseleva, Andrey Konchalovskiy","Yuliya Vysotskaya, Vladislav Komarov, Andrey Gusev","Novocherkassk, USSR, 1962. Lyudmila is a Party executive and devout communist who had fought in WWII for Stalin's ideology. Certain that her work will create a communist society, the woman detests any anti-Soviet sentiment. During a strike at the local electromotive factory, Lyudmila witnesses a laborers' piquet gunned down under orders from the government that seeks to cover up mass labor strikes in USSR. After the bloodbath, when survivors flee from the square, Lyudmila realizes her daughter has disappeared. A gaping rift opens in her worldview. Despite the blockade of the city, mass arrests, and the authorities' attempts to cover up the massacre, Lyudmila searches for her daughter. We don't know how the search will end, but realize that the woman's life won't ever be the same.",Russian,Russia,10 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BODMyZTM2ZTYtODU3NC00ODMwLWIwNjMtOWY4YmQ5MDlmNGFmXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.3,"3,711",tt10796286,movie,05 Feb 2021,N/A,N/A,N/A,True,
8,News of the World,2020,PG-13,25 Dec 2020,118 min,"Action, Adventure, Drama",Paul Greengrass,"Paul Greengrass, Luke Davies, Paulette Jiles","Tom Hanks, Helena Zengel, Tom Astor","Five years after the end of the Civil War, Captain Jefferson Kyle Kidd (Tom Hanks), a veteran of three wars, now moves from town to town as a non-fiction storyteller, sharing the news of presidents and queens, glorious feuds, devastating catastrophes, and gripping adventures from the far reaches of the globe. On the plains of Texas, he crosses paths with Johanna (Helena Zengel), a 10-year-old taken in by the Kiowa people six years earlier and raised as one of their own. Johanna, hostile to a world she's never experienced, is being returned to her biological aunt and uncle against her will. Kidd agrees to deliver the child where the law says she belongs. As they travel hundreds of miles into the unforgiving wilderness, the two will face tremendous challenges of both human and natural forces as they search for a place that either can call home.","English, North American Indian, German","United States, China",Nominated for 4 Oscars. 5 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.8,"78,314",tt6878306,movie,15 Jan 2021,"$12,668,325",N/A,N/A,True,
9,The Dissident,2020,PG-13,08 Jan 2021,119 min,"Documentary, Crime, Thriller",Bryan Fogel,"Bryan Fogel, Mark Monroe","Omar Abdulaziz, Fahrettin Altun, John O. Brennan","When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up.","Arabic, Turkish, English",United States,4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNjJlOWUwODAtYWQ3My00MTBjLWIyYjgtZGFiNDRlYjc5NWUyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.9,"28,773",tt11382384,movie,08 Jan 2021,"$57,000",N/A,N/A,True,
