validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,8,symmetric,symmetric,0.001,3,0.24246587515429968
0.75,8,symmetric,symmetric,0.01,3,0.24210239012489573
0.75,8,symmetric,symmetric,0.1,3,0.24201213779988107
0.75,8,symmetric,auto,0.001,3,0.24264003866897285
0.75,8,symmetric,auto,0.01,3,0.24230783817759194
0.75,8,symmetric,auto,0.1,3,0.24264003866897285
0.75,8,symmetric,,0.001,3,0.24264003866897285
0.75,8,symmetric,,0.01,3,0.24183797428520792
0.75,8,symmetric,,0.1,3,0.24295931505735893
0.75,8,asymmetric,symmetric,0.001,3,0.24480178300730449
0.75,8,asymmetric,symmetric,0.01,3,0.24517078500866543
0.75,8,asymmetric,symmetric,0.1,3,0.24112350539869448
0.75,8,asymmetric,auto,0.001,3,0.23847981090659232
0.75,8,asymmetric,auto,0.01,3,0.2404199161105477
0.75,8,asymmetric,auto,0.1,3,0.2517532338850706
0.75,8,asymmetric,,0.001,3,0.2392516058336409
0.75,8,asymmetric,,0.01,3,0.252190468676242
0.75,8,asymmetric,,0.1,3,0.2414596286387008
0.75,10,symmetric,symmetric,0.001,3,0.252571045639309
0.75,10,symmetric,symmetric,0.01,3,0.2555313788442895
0.75,10,symmetric,symmetric,0.1,3,0.2559793515611371
0.75,10,symmetric,auto,0.001,3,0.2538384792461691
0.75,10,symmetric,auto,0.01,3,0.24727441942270184
0.75,10,symmetric,auto,0.1,3,0.2531191056025091
0.75,10,symmetric,,0.001,3,0.25306663159902343
0.75,10,symmetric,,0.01,3,0.25100599571112503
0.75,10,symmetric,,0.1,3,0.25620573644763
0.75,10,asymmetric,symmetric,0.001,3,0.2484004067418069
0.75,10,asymmetric,symmetric,0.01,3,0.25106516283491764
0.75,10,asymmetric,symmetric,0.1,3,0.24678427901848896
0.75,10,asymmetric,auto,0.001,3,0.24300711256176388
0.75,10,asymmetric,auto,0.01,3,0.24664415999683126
0.75,10,asymmetric,auto,0.1,3,0.252172749677818
0.75,10,asymmetric,,0.001,3,0.24989021126758618
0.75,10,asymmetric,,0.01,3,0.24893157702201002
0.75,10,asymmetric,,0.1,3,0.2469857876085854
0.75,12,symmetric,symmetric,0.001,3,0.25533363313885477
0.75,12,symmetric,symmetric,0.01,3,0.2561393654823081
0.75,12,symmetric,symmetric,0.1,3,0.25983860908302087
0.75,12,symmetric,auto,0.001,3,0.2576536333831679
0.75,12,symmetric,auto,0.01,3,0.2591429065782778
0.75,12,symmetric,auto,0.1,3,0.257713440422499
0.75,12,symmetric,,0.001,3,0.25962570740275437
0.75,12,symmetric,,0.01,3,0.2565800087371039
0.75,12,symmetric,,0.1,3,0.25509485323160397
0.75,12,asymmetric,symmetric,0.001,3,0.2516442375472519
0.75,12,asymmetric,symmetric,0.01,3,0.26043488900514195
0.75,12,asymmetric,symmetric,0.1,3,0.253646314116265
0.75,12,asymmetric,auto,0.001,3,0.2556120291506724
0.75,12,asymmetric,auto,0.01,3,0.2634836642827573
0.75,12,asymmetric,auto,0.1,3,0.25644716321662064
0.75,12,asymmetric,,0.001,3,0.25668058572204727
0.75,12,asymmetric,,0.01,3,0.2562275822116949
0.75,12,asymmetric,,0.1,3,0.25632900500066585
0.75,14,symmetric,symmetric,0.001,3,0.25704459295537263
0.75,14,symmetric,symmetric,0.01,3,0.2544660646220199
0.75,14,symmetric,symmetric,0.1,3,0.25920053311214203
0.75,14,symmetric,auto,0.001,3,0.25977497268525646
0.75,14,symmetric,auto,0.01,3,0.25021531007570147
0.75,14,symmetric,auto,0.1,3,0.2582901643620009
0.75,14,symmetric,,0.001,3,0.25354450311236776
0.75,14,symmetric,,0.01,3,0.24818782839764977
0.75,14,symmetric,,0.1,3,0.2537221822186305
0.75,14,asymmetric,symmetric,0.001,3,0.26039596981361435
0.75,14,asymmetric,symmetric,0.01,3,0.23891412298821185
0.75,14,asymmetric,symmetric,0.1,3,0.25731162707257316
0.75,14,asymmetric,auto,0.001,3,0.2545015605382928
0.75,14,asymmetric,auto,0.01,3,0.24567362337327148
0.75,14,asymmetric,auto,0.1,3,0.25633814342341676
0.75,14,asymmetric,,0.001,3,0.25288867900356493
0.75,14,asymmetric,,0.01,3,0.2531226206802018
0.75,14,asymmetric,,0.1,3,0.25725650850653176
1.0,8,symmetric,symmetric,0.001,3,0.24525299998235378
1.0,8,symmetric,symmetric,0.01,3,0.24361778648679905
1.0,8,symmetric,symmetric,0.1,3,0.24525299998235378
1.0,8,symmetric,auto,0.001,3,0.24314435722925726
1.0,8,symmetric,auto,0.01,3,0.24239819493412657
1.0,8,symmetric,auto,0.1,3,0.244440460241798
1.0,8,symmetric,,0.001,3,0.2433975205173958
1.0,8,symmetric,,0.01,3,0.24525299998235378
1.0,8,symmetric,,0.1,3,0.243230683284723
1.0,8,asymmetric,symmetric,0.001,3,0.24046818330042133
1.0,8,asymmetric,symmetric,0.01,3,0.24327885951080175
1.0,8,asymmetric,symmetric,0.1,3,0.24277954970191995
1.0,8,asymmetric,auto,0.001,3,0.24070954344758064
1.0,8,asymmetric,auto,0.01,3,0.2391187136641676
1.0,8,asymmetric,auto,0.1,3,0.2413810586237386
1.0,8,asymmetric,,0.001,3,0.24235320932931048
1.0,8,asymmetric,,0.01,3,0.239857332423325
1.0,8,asymmetric,,0.1,3,0.2399650499173979
1.0,10,symmetric,symmetric,0.001,3,0.24255963480093995
1.0,10,symmetric,symmetric,0.01,3,0.24154641225478968
1.0,10,symmetric,symmetric,0.1,3,0.24136016964719742
1.0,10,symmetric,auto,0.001,3,0.2422599900769682
1.0,10,symmetric,auto,0.01,3,0.24101149514640702
1.0,10,symmetric,auto,0.1,3,0.2429040484759545
1.0,10,symmetric,,0.001,3,0.24087377771235935
1.0,10,symmetric,,0.01,3,0.24136016964719742
1.0,10,symmetric,,0.1,3,0.24253724779930458
1.0,10,asymmetric,symmetric,0.001,3,0.24338101651248306
1.0,10,asymmetric,symmetric,0.01,3,0.2431007830979003
1.0,10,asymmetric,symmetric,0.1,3,0.24487804358245918
1.0,10,asymmetric,auto,0.001,3,0.24363733530354584
1.0,10,asymmetric,auto,0.01,3,0.24467654576648662
1.0,10,asymmetric,auto,0.1,3,0.24496359939812695
1.0,10,asymmetric,,0.001,3,0.24511905949366555
1.0,10,asymmetric,,0.01,3,0.2431394145505271
1.0,10,asymmetric,,0.1,3,0.24407536239270108
1.0,12,symmetric,symmetric,0.001,3,0.24283737674101702
1.0,12,symmetric,symmetric,0.01,3,0.2465039023603023
1.0,12,symmetric,symmetric,0.1,3,0.2447378587020139
1.0,12,symmetric,auto,0.001,3,0.24392325153384656
1.0,12,symmetric,auto,0.01,3,0.24540296104685866
1.0,12,symmetric,auto,0.1,3,0.24287505379927343
1.0,12,symmetric,,0.001,3,0.2443379576433794
1.0,12,symmetric,,0.01,3,0.2442984415462449
1.0,12,symmetric,,0.1,3,0.24448421447000582
1.0,12,asymmetric,symmetric,0.001,3,0.24583728465182578
1.0,12,asymmetric,symmetric,0.01,3,0.24458019954257085
1.0,12,asymmetric,symmetric,0.1,3,0.24660450344913676
1.0,12,asymmetric,auto,0.001,3,0.24639970991687035
1.0,12,asymmetric,auto,0.01,3,0.24545764679017498
1.0,12,asymmetric,auto,0.1,3,0.2448057294141223
1.0,12,asymmetric,,0.001,3,0.24516952225619595
1.0,12,asymmetric,,0.01,3,0.2471408307053804
1.0,12,asymmetric,,0.1,3,0.2463549547145254
1.0,14,symmetric,symmetric,0.001,3,0.24814137962139218
1.0,14,symmetric,symmetric,0.01,3,0.24807117171953866
1.0,14,symmetric,symmetric,0.1,3,0.24897653306075193
1.0,14,symmetric,auto,0.001,3,0.24221543040897586
1.0,14,symmetric,auto,0.01,3,0.24063816078866948
1.0,14,symmetric,auto,0.1,3,0.24183962242242923
1.0,14,symmetric,,0.001,3,0.24422037127414317
1.0,14,symmetric,,0.01,3,0.2479643568562251
1.0,14,symmetric,,0.1,3,0.24660542253033493
1.0,14,asymmetric,symmetric,0.001,3,0.2449542556166931
1.0,14,asymmetric,symmetric,0.01,3,0.2516407410257964
1.0,14,asymmetric,symmetric,0.1,3,0.25611585157875866
1.0,14,asymmetric,auto,0.001,3,0.2537053260554447
1.0,14,asymmetric,auto,0.01,3,0.2405211858140428
1.0,14,asymmetric,auto,0.1,3,0.2553332336570726
1.0,14,asymmetric,,0.001,3,0.2535073373465845
1.0,14,asymmetric,,0.01,3,0.2530987058343251
1.0,14,asymmetric,,0.1,3,0.2553064325261573
0.75,8,symmetric,symmetric,0.001,5,0.24183637802534902
0.75,8,symmetric,symmetric,0.01,5,0.23992668586318916
0.75,8,symmetric,symmetric,0.1,5,0.23961705518913712
0.75,8,symmetric,auto,0.001,5,0.2410624851995552
0.75,8,symmetric,auto,0.01,5,0.24263383379674425
0.75,8,symmetric,auto,0.1,5,0.2416762568708554
0.75,8,symmetric,,0.001,5,0.23977061605523498
0.75,8,symmetric,,0.01,5,0.24172504885314267
0.75,8,symmetric,,0.1,5,0.24180800744544817
0.75,8,asymmetric,symmetric,0.001,5,0.23913294187074188
0.75,8,asymmetric,symmetric,0.01,5,0.23881260037890162
0.75,8,asymmetric,symmetric,0.1,5,0.24050377324106903
0.75,8,asymmetric,auto,0.001,5,0.2391971190081761
0.75,8,asymmetric,auto,0.01,5,0.24018039076478997
