validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,8,symmetric,symmetric,0.001,3,0.3509396274722938
0.75,8,symmetric,symmetric,0.01,3,0.3601174120745806
0.75,8,symmetric,symmetric,0.1,3,0.3525704144517401
0.75,8,symmetric,auto,0.001,3,0.3644693525679284
0.75,8,symmetric,auto,0.01,3,0.3535755423038315
0.75,8,symmetric,auto,0.1,3,0.3633334394552392
0.75,8,symmetric,,0.001,3,0.3625355145842002
0.75,8,symmetric,,0.01,3,0.3659862460882184
0.75,8,symmetric,,0.1,3,0.3643427967605195
0.75,8,asymmetric,symmetric,0.001,3,0.34258900850246293
0.75,8,asymmetric,symmetric,0.01,3,0.34842557363822935
0.75,8,asymmetric,symmetric,0.1,3,0.34894001205404934
0.75,8,asymmetric,auto,0.001,3,0.3705274593698627
0.75,8,asymmetric,auto,0.01,3,0.34406376810870715
0.75,8,asymmetric,auto,0.1,3,0.3347477960352433
0.75,8,asymmetric,,0.001,3,0.3405957151755644
0.75,8,asymmetric,,0.01,3,0.34240022209394505
0.75,8,asymmetric,,0.1,3,0.35095027886774904
0.75,10,symmetric,symmetric,0.001,3,0.34076818336853276
0.75,10,symmetric,symmetric,0.01,3,0.3428623751354797
0.75,10,symmetric,symmetric,0.1,3,0.3459053415166632
0.75,10,symmetric,auto,0.001,3,0.34512647648591577
0.75,10,symmetric,auto,0.01,3,0.33537868891547096
0.75,10,symmetric,auto,0.1,3,0.3289582245838723
0.75,10,symmetric,,0.001,3,0.33295137833384636
0.75,10,symmetric,,0.01,3,0.3475314712445369
0.75,10,symmetric,,0.1,3,0.32816001063891376
0.75,10,asymmetric,symmetric,0.001,3,0.35468536330730976
0.75,10,asymmetric,symmetric,0.01,3,0.3529154890868406
0.75,10,asymmetric,symmetric,0.1,3,0.3529301913173672
0.75,10,asymmetric,auto,0.001,3,0.3684582381394458
0.75,10,asymmetric,auto,0.01,3,0.35309569909613686
0.75,10,asymmetric,auto,0.1,3,0.3422229240832889
0.75,10,asymmetric,,0.001,3,0.34558412195533106
0.75,10,asymmetric,,0.01,3,0.36713742313181913
0.75,10,asymmetric,,0.1,3,0.3429479345909448
0.75,12,symmetric,symmetric,0.001,3,0.3287903958206117
0.75,12,symmetric,symmetric,0.01,3,0.3139777054696163
0.75,12,symmetric,symmetric,0.1,3,0.3320401130486
0.75,12,symmetric,auto,0.001,3,0.3175891490442064
0.75,12,symmetric,auto,0.01,3,0.31934429982851026
0.75,12,symmetric,auto,0.1,3,0.32853180116966413
0.75,12,symmetric,,0.001,3,0.31263405160527313
0.75,12,symmetric,,0.01,3,0.3238324454369894
0.75,12,symmetric,,0.1,3,0.3249708659849668
0.75,12,asymmetric,symmetric,0.001,3,0.33680354000584045
0.75,12,asymmetric,symmetric,0.01,3,0.35077074478868475
0.75,12,asymmetric,symmetric,0.1,3,0.3302225790812275
0.75,12,asymmetric,auto,0.001,3,0.3684086400062478
0.75,12,asymmetric,auto,0.01,3,0.347457713983939
0.75,12,asymmetric,auto,0.1,3,0.33688890073409833
0.75,12,asymmetric,,0.001,3,0.3618723833653075
0.75,12,asymmetric,,0.01,3,0.3454412308900785
0.75,12,asymmetric,,0.1,3,0.3544376065695511
0.75,14,symmetric,symmetric,0.001,3,0.3478094200204388
0.75,14,symmetric,symmetric,0.01,3,0.3329914806142646
0.75,14,symmetric,symmetric,0.1,3,0.312821793388602
0.75,14,symmetric,auto,0.001,3,0.32414420474550504
0.75,14,symmetric,auto,0.01,3,0.32716144348900483
0.75,14,symmetric,auto,0.1,3,0.3264826000454805
0.75,14,symmetric,,0.001,3,0.3207677268194994
0.75,14,symmetric,,0.01,3,0.3101264573480987
0.75,14,symmetric,,0.1,3,0.3382764635197949
0.75,14,asymmetric,symmetric,0.001,3,0.34630957298687653
0.75,14,asymmetric,symmetric,0.01,3,0.33594849722489345
0.75,14,asymmetric,symmetric,0.1,3,0.36083272941858474
0.75,14,asymmetric,auto,0.001,3,0.3459101570669528
0.75,14,asymmetric,auto,0.01,3,0.3492034405208568
0.75,14,asymmetric,auto,0.1,3,0.3710350866600676
0.75,14,asymmetric,,0.001,3,0.345694052507684
0.75,14,asymmetric,,0.01,3,0.3730229657864868
0.75,14,asymmetric,,0.1,3,0.36176018107287833
