validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,8,symmetric,symmetric,0.001,3,0.24078745543911995
0.75,8,symmetric,symmetric,0.01,3,0.24154122410119985
0.75,8,symmetric,symmetric,0.1,3,0.24110070201055686
0.75,8,symmetric,auto,0.001,3,0.23959637163277242
0.75,8,symmetric,auto,0.01,3,0.23920916955280408
0.75,8,symmetric,auto,0.1,3,0.2388716977443407
0.75,8,symmetric,,0.001,3,0.24039965309669742
0.75,8,symmetric,,0.01,3,0.24170123723883974
0.75,8,symmetric,,0.1,3,0.24002411155791714
0.75,8,asymmetric,symmetric,0.001,3,0.24246637000392207
0.75,8,asymmetric,symmetric,0.01,3,0.24031054133435598
0.75,8,asymmetric,symmetric,0.1,3,0.23945940550117434
0.75,8,asymmetric,auto,0.001,3,0.23983957429469263
0.75,8,asymmetric,auto,0.01,3,0.24031054133435598
0.75,8,asymmetric,auto,0.1,3,0.24049660101781106
0.75,8,asymmetric,,0.001,3,0.23931611411148773
0.75,8,asymmetric,,0.01,3,0.23949654494903544
0.75,8,asymmetric,,0.1,3,0.2392063739250329
0.75,10,symmetric,symmetric,0.001,3,0.23734358284739082
0.75,10,symmetric,symmetric,0.01,3,0.23810991106799576
0.75,10,symmetric,symmetric,0.1,3,0.23744402649946764
0.75,10,symmetric,auto,0.001,3,0.23860244556442295
0.75,10,symmetric,auto,0.01,3,0.23854095313041085
0.75,10,symmetric,auto,0.1,3,0.23777246991964768
0.75,10,symmetric,,0.001,3,0.23811496015100922
0.75,10,symmetric,,0.01,3,0.2384409739302912
0.75,10,symmetric,,0.1,3,0.23847889173374384
0.75,10,asymmetric,symmetric,0.001,3,0.24107588897326288
0.75,10,asymmetric,symmetric,0.01,3,0.23944945798463557
0.75,10,asymmetric,symmetric,0.1,3,0.23756463360156546
0.75,10,asymmetric,auto,0.001,3,0.23939352515334775
0.75,10,asymmetric,auto,0.01,3,0.23935072158925103
0.75,10,asymmetric,auto,0.1,3,0.24048139673611205
0.75,10,asymmetric,,0.001,3,0.2381197909228979
0.75,10,asymmetric,,0.01,3,0.23952587693888647
0.75,10,asymmetric,,0.1,3,0.2401211543822875
0.75,12,symmetric,symmetric,0.001,3,0.23801888927339043
0.75,12,symmetric,symmetric,0.01,3,0.23968045541238905
0.75,12,symmetric,symmetric,0.1,3,0.2375629377059593
0.75,12,symmetric,auto,0.001,3,0.23816204150632783
0.75,12,symmetric,auto,0.01,3,0.23854960244464388
0.75,12,symmetric,auto,0.1,3,0.23892699162296963
0.75,12,symmetric,,0.001,3,0.23646623931463331
0.75,12,symmetric,,0.01,3,0.23867264059388837
0.75,12,symmetric,,0.1,3,0.23793667734198298
0.75,12,asymmetric,symmetric,0.001,3,0.24288204974887384
0.75,12,asymmetric,symmetric,0.01,3,0.24131759567672817
0.75,12,asymmetric,symmetric,0.1,3,0.2432682493186343
0.75,12,asymmetric,auto,0.001,3,0.244120050238861
0.75,12,asymmetric,auto,0.01,3,0.24328752675075363
0.75,12,asymmetric,auto,0.1,3,0.24063536629038426
0.75,12,asymmetric,,0.001,3,0.24113914373982923
0.75,12,asymmetric,,0.01,3,0.2414708198390342
0.75,12,asymmetric,,0.1,3,0.24440516796400555
0.75,14,symmetric,symmetric,0.001,3,0.2461054395904753
0.75,14,symmetric,symmetric,0.01,3,0.25173398733306407
0.75,14,symmetric,symmetric,0.1,3,0.2506261888208974
0.75,14,symmetric,auto,0.001,3,0.24986678849689412
0.75,14,symmetric,auto,0.01,3,0.24980505955478885
0.75,14,symmetric,auto,0.1,3,0.24687356127840246
0.75,14,symmetric,,0.001,3,0.24766595533597544
0.75,14,symmetric,,0.01,3,0.24670650300040928
0.75,14,symmetric,,0.1,3,0.2513362643919514
0.75,14,asymmetric,symmetric,0.001,3,0.2516597919129212
0.75,14,asymmetric,symmetric,0.01,3,0.2520250155760769
0.75,14,asymmetric,symmetric,0.1,3,0.2512751389300712
0.75,14,asymmetric,auto,0.001,3,0.25189770790213456
0.75,14,asymmetric,auto,0.01,3,0.2528038936507944
0.75,14,asymmetric,auto,0.1,3,0.24932698528089065
0.75,14,asymmetric,,0.001,3,0.25193569932387533
0.75,14,asymmetric,,0.01,3,0.24835226105109212
0.75,14,asymmetric,,0.1,3,0.2523500250664405
1.0,8,symmetric,symmetric,0.001,3,0.24130070027564038
1.0,8,symmetric,symmetric,0.01,3,0.24132921389086187
1.0,8,symmetric,symmetric,0.1,3,0.24089469321995263
1.0,8,symmetric,auto,0.001,3,0.24110015318496908
1.0,8,symmetric,auto,0.01,3,0.2414838112545123
1.0,8,symmetric,auto,0.1,3,0.24171557081975323
1.0,8,symmetric,,0.001,3,0.2410827496978384
1.0,8,symmetric,,0.01,3,0.24142504523721964
1.0,8,symmetric,,0.1,3,0.24028733693586274
1.0,8,asymmetric,symmetric,0.001,3,0.2397564954323061
1.0,8,asymmetric,symmetric,0.01,3,0.24038138538494697
1.0,8,asymmetric,symmetric,0.1,3,0.23941802724698075
1.0,8,asymmetric,auto,0.001,3,0.23932568252147857
1.0,8,asymmetric,auto,0.01,3,0.2394015783753807
1.0,8,asymmetric,auto,0.1,3,0.23885613367259828
1.0,8,asymmetric,,0.001,3,0.23993817370073106
1.0,8,asymmetric,,0.01,3,0.23873846863818848
1.0,8,asymmetric,,0.1,3,0.23932568252147857
1.0,10,symmetric,symmetric,0.001,3,0.24065741592911083
1.0,10,symmetric,symmetric,0.01,3,0.24222879784785656
1.0,10,symmetric,symmetric,0.1,3,0.2404097306268484
1.0,10,symmetric,auto,0.001,3,0.24026525997658874
1.0,10,symmetric,auto,0.01,3,0.23944304589014048
1.0,10,symmetric,auto,0.1,3,0.24222879784785656
1.0,10,symmetric,,0.001,3,0.2403649147272497
1.0,10,symmetric,,0.01,3,0.24105335752025825
1.0,10,symmetric,,0.1,3,0.23952438427026834
1.0,10,asymmetric,symmetric,0.001,3,0.23923217564630334
1.0,10,asymmetric,symmetric,0.01,3,0.23858773811143813
1.0,10,asymmetric,symmetric,0.1,3,0.23998503478739308
1.0,10,asymmetric,auto,0.001,3,0.23914974115760637
1.0,10,asymmetric,auto,0.01,3,0.23914974115760637
1.0,10,asymmetric,auto,0.1,3,0.2398944188083701
1.0,10,asymmetric,,0.001,3,0.23804593944221947
1.0,10,asymmetric,,0.01,3,0.2397653357440644
1.0,10,asymmetric,,0.1,3,0.23968212635317596
1.0,12,symmetric,symmetric,0.001,3,0.2404991951943997
1.0,12,symmetric,symmetric,0.01,3,0.2411959005451346
1.0,12,symmetric,symmetric,0.1,3,0.23815313532791207
1.0,12,symmetric,auto,0.001,3,0.23881062189766386
1.0,12,symmetric,auto,0.01,3,0.23800669284467435
1.0,12,symmetric,auto,0.1,3,0.23983664746253275
1.0,12,symmetric,,0.001,3,0.2422710140780954
1.0,12,symmetric,,0.01,3,0.24210082752227827
1.0,12,symmetric,,0.1,3,0.23883935310093873
1.0,12,asymmetric,symmetric,0.001,3,0.24197797099005672
1.0,12,asymmetric,symmetric,0.01,3,0.2393928114185816
1.0,12,asymmetric,symmetric,0.1,3,0.24103933713060086
1.0,12,asymmetric,auto,0.001,3,0.24291923098272936
1.0,12,asymmetric,auto,0.01,3,0.23992008224880176
1.0,12,asymmetric,auto,0.1,3,0.2387089720694832
1.0,12,asymmetric,,0.001,3,0.23913840709523193
1.0,12,asymmetric,,0.01,3,0.2380653408290849
1.0,12,asymmetric,,0.1,3,0.24084574749626728
1.0,14,symmetric,symmetric,0.001,3,0.24185950011752708
1.0,14,symmetric,symmetric,0.01,3,0.24271527213485314
1.0,14,symmetric,symmetric,0.1,3,0.24468735137909273
1.0,14,symmetric,auto,0.001,3,0.24477758996763807
1.0,14,symmetric,auto,0.01,3,0.24301065019018345
1.0,14,symmetric,auto,0.1,3,0.24297317349156144
1.0,14,symmetric,,0.001,3,0.241030554232907
1.0,14,symmetric,,0.01,3,0.24905507843554556
1.0,14,symmetric,,0.1,3,0.24632951677321416
1.0,14,asymmetric,symmetric,0.001,3,0.25117338881439544
1.0,14,asymmetric,symmetric,0.01,3,0.244600472258542
1.0,14,asymmetric,symmetric,0.1,3,0.24520156107650976
1.0,14,asymmetric,auto,0.001,3,0.24393234107035727
1.0,14,asymmetric,auto,0.01,3,0.25208232463656916
