Topic   #1,Topic   #2,Topic   #3,Topic   #4,Topic   #5,Topic   #6,Topic   #7,Topic   #8,Topic   #9,Topic   #10
bill,male,hair,holiday,maud,shark,cousin,animate,sport,bundy
reality,fantasy,fern,candyman,palmer,irene,whale,oscar_nominate,trilogy,rembrandt
push,singer,truffle,gawain,ali,patient,chef,program,franchise,ruth
stay,claim,card,gamhee,billy,clare,celebrity,entry,lean,cody
rock,else,influence,nanae,conflict,welcome,beastie,spirit,zombie,vivo
survivor,deal,ball,louis,patience,message,maori,wear,deena,sure
protest,wish,ottinger,beanpole,ailey,window,cartoon,bower,shadyside,tabrizi
national,central,schrader,eat,stutter,tend,makwa,burrow,reference,byrne
activist,stake,bloom,amin,mom,filmmake,aldo,letter,writer_director,alive
politic,fast,whole,rei,abigail,levy,puck,render,suspense,sign
